model,year,price,type,distance,fuel,tax,miles per galoon,size
1,2017.0,7999.0,1,17307.0,2,145.0,58.9,1.2
10,2017.0,14100.0,2,27299.0,0,145.0,57.6,1.7
0,2017.0,7495.0,1,25203.0,2,30.0,57.7,1.2
6,2013.0,6998.0,1,72893.9687098168,0,145.0,53.3,1.7
10,2016.0,11998.0,1,36512.0,0,30.0,61.7,1.7
1,2015.0,7995.0,1,6413.0,2,30.0,55.4,1.2
2,2015.0,8998.0,1,16412.0,2,145.0,48.7,1.4
10,2016.0,12298.0,1,35153.0,0,30.0,61.7,1.7
1,2017.0,7798.0,1,14814.0,2,150.0,55.4,1.2
4,2018.0,15299.0,0,34103.0,0,145.0,33.6,2.5
5,2014.0,5998.0,1,42386.0,0,30.0,64.2,1.6
10,2018.0,13900.0,1,16265.0,2,150.0,44.8,1.6
4,2018.0,15998.0,1,36815.0,0,145.0,28.0,2.5
10,2017.0,12998.0,1,40262.0,0,145.0,61.7,1.7
5,2016.0,7998.0,1,18562.0,2,125.0,50.4,1.4
7,2019.0,19800.0,0,1963.0,2,135.0,78.5,1.6
10,2016.0,18698.0,0,14884.0,0,235.0,43.5,2.0
1,2017.0,8498.0,1,19685.0,2,145.0,58.9,1.2
10,2019.0,15498.0,1,11915.0,2,150.0,34.9,1.6
1,2017.0,7998.0,1,35934.0,2,145.0,58.9,1.2
2,2018.0,9299.0,1,21859.0,2,145.0,56.5,1.0
1,2018.0,9985.0,0,20796.0,2,145.0,45.6,1.4
10,2019.0,18000.0,1,4353.0,2,145.0,35.3,1.6
10,2018.0,12698.0,1,14183.0,2,145.0,44.8,1.6
10,2017.0,12998.0,1,33461.0,0,30.0,61.7,1.7
2,2016.0,8900.0,1,18257.0,0,0.0,78.4,1.6
1,2016.0,8298.0,1,17499.0,2,30.0,55.4,1.2
6,2015.0,9495.0,1,46000.0,0,145.0,53.3,1.7
8,2019.0,14298.0,1,9829.0,2,145.0,44.1,1.0
4,2019.0,17998.0,1,17972.0,0,145.0,28.0,2.5
5,2016.0,7194.0,1,27696.0,2,125.0,50.4,1.4
9,2018.0,21985.0,1,13436.0,0,145.0,47.1,2.2
1,2017.0,8998.0,1,16900.0,2,145.0,55.4,1.2
1,2014.0,4998.0,1,43444.0,2,30.0,57.6,1.2
8,2018.0,12498.0,1,23001.0,2,145.0,52.3,1.0
6,2011.9411333648773,6936.0,1,72436.0,0,200.0,47.9,2.0
9,2017.0,19429.0,2,38452.0,0,150.0,42.8,2.2
1,2017.0,7998.0,1,28502.0,2,145.0,55.4,1.2
4,2019.0,21498.0,1,2804.0,0,145.0,28.0,2.5
10,2016.0,11698.0,1,24636.0,2,165.0,44.8,1.6
0,2016.0,6000.0,1,23176.0,2,30.0,57.6,1.2
10,2017.0,16800.0,1,21875.0,2,145.0,38.7,1.6
8,2019.0,14998.0,1,2383.0,2,145.0,44.1,1.0
2,2019.0,12998.0,1,14121.0,0,145.0,58.9,1.6
8,2018.0,12998.0,1,19001.0,2,145.0,52.3,1.0
10,2016.0,13300.0,1,25071.0,0,30.0,61.7,1.7
2,2017.0,10785.0,1,19273.0,0,145.0,74.3,1.6
10,2019.0,15498.0,1,14877.0,2,150.0,34.9,1.6
10,2018.0,17998.0,1,7874.0,0,145.0,48.7,1.6
8,2019.0,15298.0,1,3752.0,2,145.0,44.1,1.0
11,2012.0,6300.0,1,60200.0,2,165.0,43.5,1.6
10,2016.0,14798.0,2,23865.0,0,125.0,57.6,1.7
0,2016.0,7500.0,1,6000.0,2,20.0,57.6,1.2
2,2015.0,7803.0,1,43022.0,0,0.0,78.4,1.6
10,2016.0,15798.0,1,35030.0,0,145.0,54.3,2.0
10,2016.0,11400.0,1,24400.0,2,160.0,44.8,1.6
